dataset,subset,n,n_active,overlap_with_modeling,overlap_with_train,R2,RMSE,MAE,Accuracy,Bal_Acc,F1,MCC,ROC_AUC,AP
H37Rv,all,15661,2476,15661,12670,0.843305842495301,0.3903246378002191,0.2624434627409256,0.9185237213460188,0.8535296755565602,0.746422893481717,0.6980271583859382,0.917800417569532,0.8163447278530871
H37Rv,overlap_modeling,15661,2476,15661,12670,0.843305842495301,0.3903246378002191,0.2624434627409256,0.9185237213460188,0.8535296755565602,0.746422893481717,0.6980271583859382,0.917800417569532,0.8163447278530871
H37Rv,overlap_train,12670,2169,12670,12670,0.9258237463914316,0.27005654778379684,0.2006757434799056,0.9239936858721389,0.8749487249430548,0.7828635851183765,0.7370837852234863,0.9323097244816616,0.8509127473006675
H37Rv,heldout_vs_train,2991,307,2991,0,0.43739164258552643,0.6991362728726304,0.5240940822785797,0.8953527248411902,0.7036995684403171,0.47571189279731996,0.4178488940325724,0.8080196556260529,0.4817924084616175
Resistant,all,2395,535,2039,1671,0.5298675998219855,0.6514425956856749,0.46111525679155246,0.8096033402922755,0.7349462365591397,0.5846994535519126,0.461545923427941,0.81676967138981,0.5906548185664513
Resistant,overlap_modeling,2039,472,2039,1671,0.5458708326663322,0.6160410794631755,0.4291116848134029,0.8028445316331535,0.730343390695813,0.58298755186722,0.4541335008382732,0.7982934572160989,0.5782579631516906
Resistant,heldout_vs_modeling,356,63,0,0,0.4322845587370481,0.8254553133007931,0.6444166142731452,0.848314606741573,0.7645592935695324,0.5970149253731343,0.5053653929678507,0.9132401538544883,0.6810142007071258
Resistant,overlap_train,1671,417,1671,1671,0.5916380375737431,0.5838835523981797,0.4028800458030106,0.8031119090365051,0.7463713239934369,0.6161026837806302,0.4841518370815105,0.8087348303175641,0.6017462912834075
Resistant,heldout_vs_train,724,118,368,0,0.3731311922513957,0.7854923160134054,0.5955227672361013,0.824585635359116,0.6870699781842591,0.4730290456431535,0.36797779718647255,0.829564524249035,0.5521576185377673
